News_Source,Title,Source_URL,Publish_Date,Category,Summary,Scrape_Date
Utusan Malaysia,Roket mega Starship sekali lagi gagal berlepas ke angkasa lepas,https://www.utusan.com.my/luar-negara/2025/08/roket-mega-starship-sekali-lagi-gagal-berlepas-ke-angkasa-lepas/?utm_source=rss&utm_medium=rss&utm_campaign=roket-mega-starship-sekali-lagi-gagal-berlepas-ke-angkasa-lepas,"Tue, 26 Aug 2025 03:00:01 +0000",Amerika,"SOUTH PADRE ISLAND: Syarikat penerokaan angkasa milik jutawan Elon Musk, SpaceX, menangguhkan ujian penerbangan roket mega Starship yang dijadualkan semalam selepas mengesan masalah teknikal pada sistem sokongan darat. Penangguhan itu sekali gus menjadi satu lagi kegagalan terbaharu dalam usaha roket terbesar dunia itu menguasai penerokaan angkasa lepas.",2025-08-26
Utusan Malaysia,Kasih sayang penguat hidup Susilah,https://www.utusan.com.my/nasional/2025/08/kasih-sayang-penguat-hidup-susilah/?utm_source=rss&utm_medium=rss&utm_campaign=kasih-sayang-penguat-hidup-susilah,"Tue, 26 Aug 2025 02:59:42 +0000",NASIONAL,"PETALING JAYA: Walaupun tragedi kemalangan hampir meragut seluruh kehidupannya, Susilah Muniandy, 60, terus bertahan dengan sokongan kasih sayang yang ikhlas daripada ahli keluarga. Susilah Muniandy, 60, kini tinggal bersama anak saudaranya selepas hilang keupayaan akibat kemalangan langgar lari.",2025-08-26
Utusan Malaysia,"PARLIMEN: 23,515 unit rumah bernilai RM15 bilion tidak terjual",https://www.utusan.com.my/terkini/2025/08/parlimen-23515-unit-rumah-bernilai-rm15-bilion-tidak-terjual/?utm_source=rss&utm_medium=rss&utm_campaign=parlimen-23515-unit-rumah-bernilai-rm15-bilion-tidak-terjual,"Tue, 26 Aug 2025 02:57:11 +0000",BERITA,"KUALA LUMPUR: Jumlah rumah siap dibina tetapi masih belum terjual (overhang) terus menjadi isu yang membelenggu pasaran hartanah negara apabila sebanyak 23,515 unit bernilai RM15 bilion direkodkan pada suku pertama 2025.",2025-08-26
Utusan Malaysia,Kekurangan diri bukan penghalang berbakti kepada masyarakat,https://www.utusan.com.my/nasional/2025/08/kekurangan-diri-bukan-penghalang-berbakti-kepada-masyarakat/?utm_source=rss&utm_medium=rss&utm_campaign=kekurangan-diri-bukan-penghalang-berbakti-kepada-masyarakat,"Tue, 26 Aug 2025 02:55:40 +0000",NASIONAL,"PETALING JAYA: Tragedi kemalangan jalan raya yang hampir meragut nyawa bukan penghalang bagi Muhammad Hafies Rosle, 36, untuk terus berbakti kepada masyarakat. Muhammad Hafies yang telah berkhidmat sebagai anggota bomba bantuan selama 10 tahun berkata, meskipun menanggung kecederaan parah akibat kemalangan, semangat beliau untuk terus membantu masyarakat tetap utuh.",2025-08-26
Utusan Malaysia,Saya kehilangan isteri dan separuh diri saya – Amirul,https://www.utusan.com.my/terkini/2025/08/saya-kehilangan-isteri-dan-separuh-diri-saya-amirul/?utm_source=rss&utm_medium=rss&utm_campaign=saya-kehilangan-isteri-dan-separuh-diri-saya-amirul,"Tue, 26 Aug 2025 02:41:03 +0000",TERKINI,"RAWANG:  Kehilangan isteri secara mengejut menjadi tamparan hebat buat seorang suami, Amirul Nafis Amiruddin, 27, yang kini membesarkan anak tunggalnya, Muhammad Faleeq Haq, berusia tujuh bulan seorang diri. Amirul Nafis berkata, isterinya, Allahyarham Nur Izzaty Hafizah Abuhurairah, 19, menghembuskan nafas terakhir secara mengejut pada 6 Januari lalu.",2025-08-26
Utusan Malaysia,Kehilangan ibu bapa bukan penghalang dua beradik ke menara gading,https://www.utusan.com.my/nasional/2025/08/kehilangan-ibu-bapa-bukan-penghalang-dua-beradik-ke-menara-gading/?utm_source=rss&utm_medium=rss&utm_campaign=kehilangan-ibu-bapa-bukan-penghalang-dua-beradik-ke-menara-gading,"Tue, 26 Aug 2025 02:37:31 +0000",NASIONAL,"SELAYANG: Kehilangan ibu dan ayah akibat kemalangan jalan raya bukan penghalang untuk dua beradik, Muhammad Imran Zakaria, 22 dan Muhammad Akram Zakaria, 25, melanjutkan pelajaran ke peringkat pengajian tinggi.",2025-08-26
Utusan Malaysia,Doakan jodoh Fazura akan hadir juga tidak lama lagi – DJ Sonic,https://www.utusan.com.my/nasional/2025/08/doakan-jodoh-fazura-akan-hadir-juga-tidak-lama-lagi-dj-sonic/?utm_source=rss&utm_medium=rss&utm_campaign=doakan-jodoh-fazura-akan-hadir-juga-tidak-lama-lagi-dj-sonic,"Tue, 26 Aug 2025 02:37:22 +0000",BERITA,"PETALING JAYA: “Doakan Fatima dan Fazura ditemukan dengan insan yang terbaik dunia akhirat.” Demikian ciapan spontan penyampai radio dan pengacara terkenal, DJ Sonic yang mendoakan rakan baiknya, Nur Fazura dan anaknya, Nur Fatima Aisya bertemu kebahagiaan seperti individu lain.",2025-08-26
Utusan Malaysia,Bekas ADUN Permas meninggal dunia,https://www.utusan.com.my/nasional/2025/08/bekas-adun-permas-meninggal-dunia/?utm_source=rss&utm_medium=rss&utm_campaign=bekas-adun-permas-meninggal-dunia,"Tue, 26 Aug 2025 02:37:17 +0000",BERITA,"PASIR GUDANG: Bekas Ahli Dewan Undangan Negeri (ADUN) Permas, Datuk Che Zakaria Mohd Salleh, 64, meninggal dunia di Hospital Sultanah Aminah (HSA), di sini 9.50 malam tadi. Berita kematian ADUN itu dimaklumkan oleh Pengerusi Parti Amanah Negara (Amanah) Johor, Aminolhuda Hasan menerusi satu hantaran di akaun Facebooknya, malam tadi.",2025-08-26
Utusan Malaysia,Wanita Perancis terlepas dari tali gantung,https://www.utusan.com.my/lipatan-sejarah/2025/08/wanita-perancis-terlepas-dari-tali-gantung/?utm_source=rss&utm_medium=rss&utm_campaign=wanita-perancis-terlepas-dari-tali-gantung,"Tue, 26 Aug 2025 02:34:21 +0000",LIPATAN SEJARAH,"Pada 26 Ogos 1982, akhbar Utusan Malaysia melaporkan seorang wanita muda Perancis, Saubin Beatrice hari ini terselamat daripada tali gantung apabila hukuman mati atas kesalahannya mengedar 534 gram heroin diringankan oleh Mahkamah Persekutuan kepada penjara seumur hidup.",2025-08-26
Utusan Malaysia,Bedah siasat Allahyarham Syamsul Haris diarah dilakukan oleh pakar HKL,https://www.utusan.com.my/nasional/mahkamah/2025/08/bedah-siasat-allahyarham-syamsul-haris-diarah-dilakukan-oleh-pakar-hkl/?utm_source=rss&utm_medium=rss&utm_campaign=bedah-siasat-allahyarham-syamsul-haris-diarah-dilakukan-oleh-pakar-hkl,"Tue, 26 Aug 2025 02:32:47 +0000",BERITA,"SHAH ALAM: Proses bedah siasat kali kedua terhadap jasad pegawai kadet Pasukan Latihan Pegawai Simpanan (Palapes) Universiti Teknologi Malaysia (UTM), Allahyarham Syamsul Haris Shamsudin diperintah dilakukan oleh Pakar Forensik Patologi Hospital Kuala Lumpur (HKL).",2025-08-26
