News_Source,Title,Source_URL,Publish_Date,Category,Summary,Scrape_Date
Utusan Malaysia,"JAIPk kutip lebih RM300,000 bantu mangsa banjir - Utusan Malaysia",https://www.utusan.com.my/terkini/2021/12/jaipk-kutip-lebih-rm300000-bantu-mangsa-banjir/,2021-12-28,,"IPOH: Kutipan lebih RM300,000 bagi membantu mangsa banjir dikumpul hasil sumbangan jemaah di seluruh masjid dan surau diri Jumaat di negeri ini.

Pengarah Jabatan Agama Islam Perak (JAIPk), Datuk Mohd. Yusop Husin berkata, jumlah tersebut hasil kutipan sehari pada Jumaat lalu membabitkan 622 masjid dan 63 surau diri Jumaat.

Katanya, hasil sumbangan awal akan diserahkan kepada penduduk yang terjejas akibat banjir di Perak iaitu di Changkat Jong dan Padang Rengas.

“Kutipan sehingga semalam mencecah RM306,000.  Jumlah ini belum merangkumi semua kerana masih ada masjid dan surau yang belum selesai membuat serahan. Insya-Allah, akan ada lagi serahan oleh pihak masjid dan surau diri Jumaat,” katanya ketika dihubungi di sini hari ini.

JAIPk melalui satu notis dikeluarkan 22 Disember lalu meminta supaya masjid dan surau diri Jumaat di seluruh negeri menyediakan tabung khas pada Jumaat lalu bagi membantu mangsa banjir di seluruh negara.",2025-08-22
Utusan Malaysia,"Dedah dicabul pempengaruh popular, Serene kesal dituduh dahaga perhatian - Utusan Malaysia",https://www.utusan.com.my/nasional/2023/09/dedah-dicabul-pempengaruh-popular-serene-kesal-dituduh-dahaga-perhatian/,2023-09-14,,"PETALING JAYA – Pelakon, Serene Claire terpaksa mendiamkan diri selama beberapa bulan kerana trauma menjadi mangsa  gangguan seksual seorang Youtuber terkenal.

Dakwa Serene, pempengaruh yang namanya dirahsiakan itu memberi alasan ingin menggambil swafoto bersama sebelum tiba-tiba menyentuh bahagian dada Serene.

Merasakan perkara itu keterlaluan, Serene berkongsi pengalaman buruknya di media sosial dan meminta wanita untuk berhati-hati. Perkongsiannya tular dan ramai mendedahkan pernah menjadi mangsa.

“Saya akui trauma sehingga terpaksa berdiam diri dalam masa beberapa bulan. Media mencari saya tetapi saya pilih untuk berdiam diri kerana bimbang pelaku menyerang saya dan keluarga.

“Dalam masa sama, ada produk batalkan kerjasama kami. Mereka anggap perkongsian saya itu sebagai reputasi buruk,” dakwanya.

Serene ditemui Utusan Malaysia di sidang media drama Gadis Muzikal di Sri Pentas baru-baru ini.

Namun begitu, pemenang tempat kedua Miss Universe 2020 itu mengakui kecewa kerana ada pihak yang mempertikaikan pemdedahannya selain menuduhnya segaja mencari publisiti murahan.

“Saya terkejut dalam zaman moden ini wanita masih didiskriminasi dan ditindas sedangkan saya bersuara untuk mempertahankan hak mangsa.

“Ada pihak yang menuduh saya sengaja memuat naik luahan dalam laman sosial kerana inginkan perhatian.

“Ketika itu saya buntu dan jujur saya tidak tahu apa yang harus dilakukan. Tujuan saya buat demikian supaya wanita lain berhati-hati malah dalam hantaran itu saya tidak sebut pun nama sesiapa,” katanya.

Merasakan pemahaman mengenai gangguan seksual dalam masyarakat masih berkurang, aktres itu kini lebih lantang bercakap tentang kesedaran tentang hak asasi wanita.

“Selepas kejadian tersebut, saya mencari pertubuhan wanita untuk bekerjasama dengan mereka bagi memperjuangkan hak wanita.

“Saya memang berminat untuk berkerjasama dengan mana-mana badan yang memperjuangkan hak asasi wanita supaya lebih ramai yang berani tampil bersuara,” tutur gadis asal Johor Bahru itu.",2025-08-22
Utusan Malaysia,"Elak kemelut berpanjangan, kerajaan sementara berpaksi perpaduan - Utusan Malaysia",https://www.utusan.com.my/terkini/2021/08/elak-kemelut-berpanjangan-kerajaan-sementara-berpaksi-perpaduan/,2021-08-18,,"GEORGETOWN: Kerajaan sementara berpaksikan perpaduan antara semua parti adalah pilihan terbaik yang boleh dilaksanakan oleh bakal perdana menteri baharu bagi mengelakkan kemelut politik berpanjangan di negara ini.

Veteran politik, Tan Sri Mohd. Yussof Latiff berkata, perdana menteri bakal dilantik juga tidak lagi boleh bertindak berlandaskan parti politik diwakilinya semata-mata, sebaliknya mesti mewakili suara semua pihak terutama rakyat yang kini tertekan dengan pandemik Covid-19.

“Konsep yang paling sesuai ketika ini adalah kerajaan sementara yang dibentuk bukan lagi berpandukan politik semata-mata, tetapi mesti berasaskan perpaduan antara semua parti.

“Suhu politik panas pada masa ini perlu dibekukan dengan pelantikan perdana menteri yang diterima rakan dan lawan politiknya,” katanya ketika dihubungi Utusan Malaysia di sini, semalam.

Semua ahli Dewan Rakyat diarahkan supaya menghantar surat akuan kepada Istana Negara dan menamakan calon pilihan untuk dilantik sebagai Perdana Menteri yang kesembilan..

Ahli-ahli Parlimen diberi masa selewat-lewatnya sehingga pukul 4 petang semalam untuk mengemukakan surat akuan secara bertulis.

Menurut Mohd. Yussof, setelah Perdana Menteri baharu itu dilantik, beliau juga perlu membentuk Jemaah Menteri dengan segera bagi meneruskan dan memperbaiki dasar ekonomi, kesihatan, pendidikan serta lain-lain.

“Sekarang ini mana-mana parti atau jajaran politik baharu pun tidak ada majoriti yang besar.

“Pembentukan Kabinet yang bakal disempurnakan sewajarnya merangkumi perpaduan antara semua pihak iaitu setiap parti ada wakil-wakil yang boleh menyumbang kepakaran kepada kerajaan,” katanya.

Tambahnya, bakal perdana menteri baharu ini juga perlu berdepan dengan realiti yang mana beliau menanggung bebananhebat ketika ini dan memerlukan sokongan semua pihak untuk mengembalikan kestabilan negara ini.",2025-08-22
Utusan Malaysia,"Bazar Stadium Shah Alam: Martabak RM7, ayam golek RM27 - Utusan Malaysia",https://www.utusan.com.my/nasional/2024/03/bazar-stadium-shah-alam-martabak-rm7-ayam-golek-rm27/,2024-03-15,,"SHAH ALAM: “Naik terlalu tinggi takut pelanggan lari, murah sangat takut rugi.” Demikian situasi dihadapi rata-rata peniaga dekat lokasi jualan makanan tumpuan di bandar raya ini pada bulan Ramadan, Bazar Stadium Shah Alam yang menawarkan pelbagai juadah untuk hidangan berbuka puasa. Antara menu ‘wajib’ dijual di bazar Ramadan pastinya ayam golek untuk dimakan ketika berbuka dan boleh disimpan sehingga sahur, salah seorang peniaganya yang mahu dikenali sebagai Isa berkata, harga…

1 Bulan / RM9.90 Sehari hanya RM0.33 Langgan 1 Tahun / RM75 Sehari hanya RM0.",2025-08-22
Utusan Malaysia,Tradisi pasang pelita malam tujuh likur,https://www.utusan.com.my/berita/2023/04/tradisi-pasang-pelita-malam-tujuh-likur/,2023-04-19,,"HULU TERENGGANU: Tradisi pasang pelita pada malam tujuh likur bagi warga Felda Bukit Bading, Ajil, dekat sini sentiasa menjadi tumpuan. Yaakob Musa, 73, dari Felda Bukit Bading, Ajil berkata, aktiviti itu merupakan rutin tahunan setiap kali menjelang Hari Raya Aidilfitri. Menurutnya, kos membeli dan memasang 60 pelita tersebut dianggarkan RM100. “Saban tahun biasanya antara 20 hingga 30 pelita akan dipasang setiap malam bermula kira-kira seminggu sebelum raya. Tahun ini lebih…

1 Bulan / RM9.90 Sehari hanya RM0.33 Langgan 1 Tahun / RM75 Sehari hanya RM0.",2025-08-22
Utusan Malaysia,Tidak boleh gagal - Utusan Malaysia,https://www.utusan.com.my/nasional/2019/03/tidak-boleh-gagal/,2019-03-08,,"DANA zakat tidak boleh lagi bergantung sepenuhnya kepada kutipan daripada individu dan syarikat yang layak. Ini kerana keupayaan dua sumber tersebut menyumbang adalah dipengaruhi oleh keadaan ekonomi semasa. Jika ekonomi merudum pastinya yang menerima kesan adalah golongan asnaf dan sudah tentu pelbagai bantuan serta kemudahan diterima sebelum ini akan tersekat. Besar kemungkinan golongan kurang berkemampuan ini bakal terjerumus sebagai peminta sedekah atau gelandangan. Menerima watikah pelantikan sebagai Pengerusi Majlis Agama…

1 Bulan / RM9.90 Sehari hanya RM0.33 Langgan 1 Tahun / RM75 Sehari hanya RM0.",2025-08-22
Utusan Malaysia,'Janji cari anak saya di Everest',https://www.utusan.com.my/nasional/2023/12/janji-cari-anak-saya-di-everest/,2023-12-15,,"GEORGE TOWN : ”Janji, cari anak saya.” Itu pesanan Che Tom Hassan, 64, ibu kepada peserta Malaysia Everest 2023 (ME2023), Muhammad Hawari Hashim, 33, yang hilang sejak 19 Mei lalu di Gunung Everest kepada pengarah syarikat malim gunung atau sherpa dari Nepal, Nivesh Karki, 35. Nivesh yang merupakan Pengarah Pioneer Adventure dan seorang lagi jurugambar bebas, Bidhan Shrestha didatangkan khas dari Nepal menerusi insiatif Lembaga Muzium Negeri Pulau Pinang (LMNPP)…

1 Bulan / RM9.90 Sehari hanya RM0.33 Langgan 1 Tahun / RM75 Sehari hanya RM0.",2025-08-22
Utusan Malaysia,Kelantan FC dilarang beli pemain,https://www.utusan.com.my/sukan/2023/07/kelantan-fc-dilarang-beli-pemain/,2023-07-06,,"PETALING JAYA: Hasrat Kelantan FC untuk menyunting pemain baharu untuk jendela perpindahan kedua Liga Malaysia yang telah dibuka perlu ditangguhkan apabila Liga Bolasepak Malaysia (MFL) mengesahkan sekatan perpindahan terhadap pasukan itu masih lagi kekal.

Pengerusi badan bebas ‘First Instance Body’ (FIB) Sheikh Mohd Nasir Sheikh Mohd Sharif memaklumkan bahawa hukuman yang dikenakan pihaknya adalah membabitkan kes berbeza dengan tindakan yang sudah diambil oleh Persatuan Bolasepak Malaysia (FAM).

“Jadi, Kelantan FC perlu menyelesaikan segala kes tunggakan bayaran KWSP serta tunggakan gaji pemain dan pegawai yang dirujuk kepada FIB untuk sekatan perpindahan pemain itu ditarik semula.

“Bagaimanapun saya melihat, CEO (Ketua Pegawai Eksekutif) Kelantan FC, Norizam Tukiman terbuka mengambil tanggungjawab serta menunjukkan usaha untuk membayar tunggakan itu.

“Dengan tempoh masa yang diberikan sehingga tarikh akhir jendela kedua pada 1 Ogos depan, saya berharap Kelantan FC dapat menyelesaikan masalah ini,”katanya.",2025-08-22
Utusan Malaysia,"Dewan Rakyat: SKMM sekat lebih 3,000 hantaran dalam media",https://www.utusan.com.my/nasional/2023/10/dewan-rakyat-skmm-sekat-lebih-3000-hantaran-dalam-media-sosial/,2023-10-12,,"KUALA LUMPUR: Suruhanjaya Komunikasi dan Multimedia Malaysia ( SKMM ) menyekat 3,150 hantaran dalam pelbagai saluran media sosial yang berunsur penipuan dan pemancingan maklumat bagi tempoh 1 Januari hingga 30 September lalu.

Timbalan Menteri Komunikasi dan Digital, Teo Nie Ching berkata, sekatan itu melibatkan 2,871 hantaran di Facebook, 254 (WhatsApp), 13 (Instagram), 11 (Telegram) dan satu di TikTok selain 1,471 membabitkan laman sesawang.

Sehubungan itu, katanya, sebagai langkah proaktif dalam penguatkuasaan undang-undang mengenai bahaya ancaman siber, Jabatan Perlindungan Data Peribadi (JPDP) sedang meneliti dan membuat pindaan terhadap beberapa aspek berkaitan perlindungan data peribadi di bawah Akta Perlindungan Data Peribadi (Akta 709).

“Memang kuasa SKMM terhad, misalnya untuk kes penipuan kuasa siasatan di bawah polis, tetapi SKMM main peranan penting iaitu kita boleh ambil tindakan apabila dapat informasi daripada polis supaya kita boleh padamkan atau turunkan kandungan berunsur penipuan.

“SKMM akan sentiasa bekerjasama rapat dengan polis untuk memastikan kita boleh memberi bantuan segera kepada mangsa penipuan,” katanya semasa sesi pertanyaan lisan dalam sidang Dewan Rakyat hari ini.

Beliau berkata demikian bagi menjawab soalan Datuk Seri Dr. Wan Azizah Wan Ismail (PH-Bandar Tun Razak) berkenaan langkah penguatkuasaan undang-undang mengenai bahaya ancaman siber.

Ini memandangkan penjenayah siber menggunakan kecerdasan buatan (AI) untuk menggodam kata laluan, membocorkan maklumat dan menipu pengguna mengakibatkan pelanggaran data serta kerugian kewangan.

Mengulas lanjut, Nie Ching berkata, antara pindaan Akta 709 yang dicadang bagi mengawal ancaman siber ialah mewajibkan pengguna data untuk melantik Pegawai Perlindungan Data, melaporkan insiden kebocoran data kepada Pesuruhjaya Perlindungan Data Peribadi dan meningkatkan kadar denda lebih tinggi kepada Pengguna Data dan Pemproses Data.

Katanya, pada masa ini, Agensi Keselamatan Siber Negara, Majlis Keselamatan Negara (MKN) sedang dalam proses penggubalan Rang Undang-undang Keselamatan Siber yang akan menguatkuasakan jenayah siber selari dengan Akta Komunikasi dan Multimedia 1998 atau Kanun Keseksaan.

“Selain itu, cadangan peluasan pemakaian tanggungjawab secara langsung juga akan dikenakan kepada Pemproses Data jika berlaku sebarang ketirisan data.

“Dalam masa sama, JPDP dalam perancangan membangunkan garis panduan AI bagi mengawal serta meminimumkan kadar capaian atau gunaan AI berkaitan data peribadi,” katanya.",2025-08-22
Utusan Malaysia,PRU15: Jangan lihat slogan semata-mata,https://www.utusan.com.my/nasional/2022/11/pru15-jangan-lihat-slogan-semata-mata/,2022-11-18,,"PENDANG: Pengundi diingatkan tidak membuat pilihan bersandarkan kepada slogan yang dicanang sesebuah gabungan atau parti politik semata-mata.

Naib Presiden UMNO, Datuk Seri Mahdzir Khalid berkata, slogan yang dicanang kadangkala berbeza dengan realiti dan tidak menggambarkan keadaan sebenar sesebuah parti.

Malah katanya, rakyat ketika ini sudah bijak mengumpul dan menilai setiap maklumat diterima mereka terutama yang diperoleh dalam media-media sosial.

“Slogan ini boleh dibuat dan direka tetapi apabila tiba kepada pelaksanaan dalam kerajaan nanti, mereka tahulah slogan itu ke mana dan aktiviti sebenarnya macam mana. Macam-macam boleh berlaku sebab rakyat sudah ada informasi di hujung jari. Hampir setiap hari mereka kumpul serta nilai maklumat dan disebabkan itu, mereka mampu nilai slogan mana yang boleh dipercayai dan dilaksanakan,” katanya selepas Program Kempen Pembukaan Tanah Terbiar dan Tanam Semula Felcra Berhad di Felcra Perupok, hari ini.

Ketika ini Perikatan Nasional (PN) dilihat menggunakan slogan ‘Bersih dan Stabil’ bagi memenangi hati pengundi manakala Pakatan Harapan (PH) mengunakan slogan ‘Kita Boleh’.

Barisan Nasional (BN) pula mengangkat tema kestabilan dan kemakmuran dalam manifesto mereka yang merangkumi pelbagai aspek termasuk hubungan antara kaum, ekonomi dan politik tanah air bersandarkan trek rekod mereka memimpin negara sebelum ini.

Mengulas keadaan pada hari terakhir berkempen hari ini, Mahdzir berkata, momentum sokongan terhadap BN dilihat kian meningkat tanpa mengira kaum.

“Sama ada Melayu, Cina, India dan lain-lain, mereka tampak kian ampuh memberi sokongan. Ada antara mereka mengaku tidak mengundi BN pada 2018 tetapi kali ini menyatakan hasrat kembali memberi undi kepada kami,” katanya.

Dalam pada itu, isu tanah terbiar bagi kawasan pertanian mahu pun komuniti antara perkara yang diberi keutamaan oleh BN sekiranya diberi mandat untuk terus membentuk kerajaan selepas Pilihan Raya Umum Ke-15 (PRU15).

Mahdzir yang juga Menteri Pembangunan Luar Bandar berkata, antara agensi yang akan digerakkan bagi mengatasi masalah itu adalah Felcra yang terletak di bawah kementeriannya.",2025-08-22
