News_Source,Title,Source_URL,Publish_Date,Category,Summary,Scrape_Date
Utusan Malaysia,Man United hampir dikejutkan kelab divisyen empat,https://www.utusan.com.my/terkini/2024/01/man-united-hampir-dikejutkan-kelab-divisyen-empat/,2024-01-28,,"NEWPORT, Wales: Manchester United dipaksa bekerja keras sebelum menjinakkan kelab divisyen empat, Newport County 4-2 dalam aksi pusingan keempat Piala FA di Rodney Parade, awal pagi tadi.

Mendahului dua gol menerusi Bruno Fernandes dan Kobbie Mainoo ketika perlawanan memasuki minit ke-13.

Namun Newport bangkit menyamakan kedudukan sebelum babak pertama berakhir hasil ledakan Bryn Morris dan Will Evans untuk mengikat kedudukan 2-2.

Begitupun, bermula babak kedua, Antony kembali meniup semangat pemain Red Devils dan menamatkan kemarau jaringannya sejak April lalu selepas mengharungi kempen sukar dicemari dengan persembahan buruk serta pertuduhan keganasan domestik yang dinafikannya.

Rasmus Hojlund menoktahkan kemenangan United apabila dia menjaringkan gol pada masa kecederaan.

Kemenangan United hadir itu sehari selepas, Erik Ten Hag menafikan berlaku perbalahan antara dirinya dengan Marcus Rashford.

Ten Hag sebelum ini, menjelaskan ketiadaan Rashford dalam pasukan itu disebabkan sakit.

Bagaimanapun, laporan mendakwa penyerang England berusia 26 tahun itu berada di kelab malam di Ireland Utara pada petang Khamis, beberapa jam sebelum gagal menghadiri latihan pada Jumaat lalu.

“Ia satu masalah dalaman dan saya akan menanganinya,” ujar ringkas Ten Hag apabila ditanya berkaitan perkara itu.",2025-09-12
Utusan Malaysia,Enam sekeluarga terpaksa berkumpul di ruang tamu setiap kali hujan,https://www.utusan.com.my/terkini/2021/07/enam-sekeluarga-terpaksa-berkumpul-di-ruang-tamu-setiap-kali-hujan/,2021-07-15,,"ISKANDAR PUTERI: Enam sekeluarga yang tinggal di Kampung Pinggiran, Gelang Patah di sini, terpaksa berkumpul di ruang tamu rumah setiap kali hujan kerana atap di bahagian bilik kesemuanya sudah bocor.

Itu situasi yang terpaksa dihadapi seorang warga emas, Masri Jambari, 60, yang tinggal bersama isteri, dua anak, seorang menantu dan seorang cucunya.

Menurutnya, keadaan lebih membimbangkan selepas struktur rumah didiaminya itu kelihatan semakin usang dan seolah-olah menanti masa untuk rebah ke bumi.

“Beberapa tiang utama rumah ini sudah reput malah kebocoran boleh dilihat di semua tempat terutamanya di bahagian bumbung dan dinding.

“Ini termasuklah atap rumah yang sudah melengkung manakala bahagian dapur dan bilik kini hanya ditahan menggunakan kayu supaya tidak runtuh,” katanya kepada pemberita di sini hari ini.

Dia berkata demikian selepas menerima kunjungan wakil Pertubuhan Permata Baiduri Malaysia (Permata), Aisyah Rahman. Turut hadir, Ketua Kampung Pinggiran, Abdul Rahman Halim dan Ketua Kampung Melayu, Rahizam Rahmat.

Tambah Masri, rumah itu bertambah teruk selepas ribut yang berlaku Isnin lalu sehingga menyebabkan tiang utama patah dan bahagian dapur runtuh.

“Waktu hujan lebat baru-baru ini, air masuk ke dalam rumah dan kami terpaksa mengeluarkan air yang bertakung serta menadah air hujan kerana atap bocor di semua tempat kecuali bahagian ruang tamu.

“Setiap kali hujan lebat terutama pada waktu malam kami semua tidak dapat tidur kerana rumah bocor di banyak tempat. Kami terpaksa berkumpul di ruang tamu setiap kali hujan.

“Saya tidak mampu untuk membaiki semua kerosakan yang ada di rumah ini kerana hanya bekerja mengambil upah mengopek bawang bersama isteri,” ujarnya yang telah berhenti kerja sebagai pemandu van kilang sejak empat bulan lalu.

Masri turut berharap ada pihak yang dapat membantunya membaiki kerosakan di rumah berkenaan sementara dia dan keluarga menunggu rumah menerusi program Bantuan Rumah Negeri Johor 2021.

Ujarnya, permohonan untuk membina rumah atas tanah seluas 0.242 hektar miliknya di kampung itu sudah diluluskan dengan kos ditanggung Baitulmal sepenuhnya.

“Pembinaan sepatutnya telah bermula pada April lalu namun sehingga kini tiada sebarang perkembangan, mungkin kerana pandemik.

“Kami berharap ia dapat disegerakan namun sementara menunggu, saya mahu membaiki rumah ini dahulu kerana bimbang jika ribut berlaku lagi, rumah ini akan roboh,” katanya yang memaklumkan mereka tidak berdepan masalah kekurangan bekalan makanan, tetapi sebaliknya tidak mampu membaiki rumah berkenaan.

Sementara itu, Aisyah memberitahu, pihaknya akan mencari golongan yang dapat menyumbang untuk mengumpul kos bagi membaiki kediaman berkenaan yang dilihat sudah tidak sesuai untuk didiami lagi.

Sehubungan itu, mana-mana pihak yang mahu menyumbang boleh menghubungi Presiden Permata, Faridah Hamzah di talian 03-61278906 atau 013-7065553 atau menyalurkan sumbangan melalui akaun Maybank Permata Baiduri Malaysia iaitu 551128630934.",2025-09-12
Utusan Malaysia,"Juara kumpulan jalan paling selamat, naib juara apa saja boleh berlaku - Utusan Malaysia",https://www.utusan.com.my/sukan/2021/05/juara-kumpulan-jalan-paling-selamat-naib-juara-apa-saja-boleh-berlaku/,2021-05-28,,"PETALING JAYA: Malaysia perlu memenangi semua baki perlawanan Kumpulan G sebagai jalan paling selamat untuk mengesahkan tiket ke pusingan ketiga kelayakan Piala Dunia 2022 dan pusingan akhir Piala Asia 2023 kerana apa saja boleh berlaku jika mereka menamatkan kempen selaku naib juara.

Setiausaha Agung Konfederasi Bola Sepak Asia (AFC), Datuk Windsor John berkata, pemotongan mata hanya dilakukan ke atas pasukan tangga kedua kerana mereka perlu menentukan empat pasukan terbaik dalam kalangan lapan kumpulan.

Katanya, sesiapa pun yang muncul naib juara bakal dipotong mata yang dikutip hasil kemenangan ke atas mana-mana pasukan yang menduduki tangga tercorot.

Keputusan itu dibuat untuk bersikap adil terhadap semua pasukan ekoran penarikan diri Korea Utara dalam Kumpulan H, yang turut dibarisi Korea Selatan, Lebanon, Turkeministan dan Sri Lanka.

Kemenangan percuma tidak boleh diberi kepada pasukan dalam Kumpulan H yang sepatutnya berdepan Korea Utara kerana ia akan menyebabkan lebih banyak negara layak ke Piala Asia, selain tidak adil buat negara-negara lain yang memiliki lebih perlawanan.

“Kita kena melihat hasil semua perlawanan sebelum menentukan siapa akan layak ke pusingan seterusnya.

“Jika FIFA (badan bola sepak dunia) membuang semua mata yang dikutip dalam Kumpulan H (melibatkan Korea Utara), hanya ada empat pasukan kehilangan mata, jadi itu tidak adil.

“Empat naib juara terbaik daripada lapan kumpulan (selepas ditolak mata) layak ke pusingan seterusnya,” kata Windsor.

Ketika ditanya kenapa tidak memberi kemenangan percuma kepada Turkmenistan, Korea Selatan, Lebanon dan Sri Lanka yang berada dalam kumpulan H, Windsor menegaskan, ia tidak adil untuk menentukan slot empat terbaik (naib juara).

“Mata percuma tidak boleh diberikan jika tidak, kita akan mempunyai lebih banyak pasukan layak ke Piala Asia.

“Kami harus menunggu sehingga semua perlawanan berakhir sebelum membatalkan dua keputusan melibatkan pasukan naib juara menentang pasukan tercorot,” katanya.

Ketika ini, Malaysia berada di tangga kelima dalam kedudukan naib juara keseluruhan dengan sembilan mata hasil tiga kemenangan. Oman di tempat teratas, diikuti Kuwait, Tajikistan dan Uzbekistan.

Begitupun peluang Harimau Malaya untuk layak dari Kumpulan G masih terbuka jika melakar keputusan baik ke atas Emiriah Arab Bersatu (UAE), Vietnam dan Thailand.

Harimau Malaya kini menduduki tangga kedua Kumpulan G dengan sembilan mata, hasil dua kemenangan ke atas Indonesia selain mengalahkan Thailand.",2025-09-12
Utusan Malaysia,22 maut bot karam di pantai Madagascar - Utusan Malaysia,https://www.utusan.com.my/luar-negara/2023/03/22-maut-bot-karam-di-pantai-madagascar/,2023-03-13,,"ANTANANARIVO: Sekurang-kurangnya 22 pendatang maut apabila bot mereka karam di luar pantai Madagascar, lapor pihak berkuasa maritim.

Pihak berkuasa maritim Madagascar dalam satu kenyataan berkata, kemalangan itu berlaku Sabtu lalu namun operasi menyelamat diteruskan untuk mencari dua orang yang masih hilang.

“Seramai 47 orang menaiki bot secara rahsia menuju ke wilayah Mayotte yang berada di bawah pengawasan Perancis tetapi bot itu karam.

“23 penumpang dapat diselamatkan sementara 22 mayat ditemui,” katanya.

Hampir setiap tahun, ratusan pendatang cuba menyeberang laut untuk sampai ke wilayah Mayotte yang terletak di utara Madagascar di Lautan Hindi.

Menurut pihak berkuasa Perancis, pada tahun 2021, lebih 6,500 orang ditahan kerana cuba memasuki wilayah itu secara rahsia.

Tiada statistik lengkap tentang jumlah sebenar pendatang yang kehilangan nyawa dalam percubaan lintasan sedemikian.

Laporan Senat Perancis yang diterbitkan pada awal 2000-an menganggarkan kira-kira 1,000 orang maut setiap tahun ketika itu akibat menyeberang ke wilayah Mayotte.",2025-09-12
Utusan Malaysia,"150,000 cucuk Satay Keluarga laris di Aidiladha - Utusan Malaysia",https://www.utusan.com.my/nasional/2021/07/150000-cucuk-satay-keluarga-laris-di-aidiladha/,2021-07-21,,"KEMAMAN: Pengusaha kedai sate terkenal di daerah ini sejak 1963 tidak menang tangan menyiapkan tempahan lebih 150,000 cucuk hidangan itu sempena sambutan Hari Raya Aidiladha.

Pengurus Satay Keluarga, Fadrul Azmil Jamalluddin, 31, berkata, jumlah tempahan itu membabitkan keseluruhan lapan cawangan dengan enam di Kemaman manakala dua lagi di Kuantan, Pahang.

Katanya, sambutan luar jangkaan terhadap sate turun-temurun yang dijual keluarganya itu sama sekali tidak diduga terutama ketika negara masih dalam tempoh Perintah Kawalan Pergerakan (PKP).

“Setiap kali Aidiladha, tempahan yang diterima lebih 300,000 cucuk sate. Walaupun jualan merosot, kita tetap bersyukur dengan rezeki ini.

“Keistimewaan Satay Keluarga adalah kerana kita menggunakan rempah istimewa hasil air tangan arwah datuk, Mat Nong Sulong selama hampir 60 tahun lalu,” katanya ketika ditemui Utusan Malaysia di kedainya di Cukai, di sini.

Menurut Fadrul Azmil, harga untuk 100 cucuk sate ayam ialah RM70 dan daging (RM90) manakala bagi jenis mentah pula antara RM67 hingga RM87.

Katanya, selain khidmat 30 pekerja tetap, mereka mengupah seramai 20 ibu tunggal dan suri rumah di sekitar Kampung Bukit Kuang untuk kerja-kerja mencucuk sate.

“Menerusi inisiatif ini, sekurang-kurangnya kami dapat berkongsi rezeki dengan golongan memerlukan bantuan terutama mereka yang terkesan dengan Covid-19,” katanya.",2025-09-12
Utusan Malaysia,Kelebihan 4-1 belum selesa buat Selangor - Cheng Hoe,https://www.utusan.com.my/sukan/2023/08/kelebihan-4-1-belum-selesa-buat-selangor-cheng-hoe/,2023-08-19,,"PETALING JAYA: Selangor FC tetap turun dengan skuad terbaik apabila melayani kunju­ngan PDRM FC dalam aksi timbal balik, pusingan 16 Piala Malaysia hari ini biarpun menang 4-1 dalam pertembungan pertama minggu lalu.

Pengendali Selangor FC, Tan Cheng Hoe berkata, kelebihan itu belum menjamin tempat ke suku akhir dan me­nuntut anak-anak buahnya mempamer aksi terbaik.

Cheng Hoe berkata, pasukannya akan turun dengan sema­ngat tinggi selepas semua pemain bebas kece­deraan dan pergantungan, tidak seperti beberapa perlawanan sebelum ini .

“Kemenangan 4-1 belum menjamin 100 peratus kita layak ke suku akhir, apa yang penting kena kekal fokus dan meneruskan momentum.

“Kita juga mendapat khabar gembira semua pemain bebas kecederaan, mereka yang digantung akibat mengutip tiga kad kuning sebelum ini juga sudah boleh diturunkan.

""The players need to focus for the next 90 minutes to ensure the team qualifies for the next round."" says Head Coach, Tan Cheng Hoe.

🔗 Read the full article about Match Preview #SELPDRM by clicking the link below. https://t.co/h34dW9wVSG #MKLK #KitaSelangor pic.twitter.com/F4Ze79wofz

— Selangor FC (@selangorfc) August 18, 2023

“Barisan kejurulatihan juga akan membuat perbincangan untuk melihat pemain mana yang akan diturunkan kerana bagi kita tiada istilah pemain akan disimpan kerana da bekal selesa. Misi belum selesai dan kita kena pastikan betul-betul layak.

“Kita juga akan berwaspada dengan taktikal yang direncanakan jurulatih baharu PDRM, mereka mungkin akan susun yang terbaik untuk menjerat kita tetapi kita akan pastikan kita bersedia,” katanya kepada Utusan Malaysia.

Dalam perlawanan pertama minggu lalu, Selangor FC membuktikan mereka lebih berwibawa dengan membenam PDRM FC 4-1 menerusi dua jaringan Ayron De Valle dan masing-masing satu gol daripada Harith Haiqal Adam Afkar dan Yohandry Orozco.

Mengulas lanjut, Cheng Hoe berkata, dia tidak mahu pemain-pemainnya melakukan kesilapan mudah yang boleh menghukum pasukan termasuk melepaskan gol-gol awal seperti yang terjadi dalam dua perlawanan terakhir mereka di peringkat liga.

“Kita dalam dua perlawanan sebelum ini dibolosi oleh dua gol awal. Jadi, kita mahu elak perkara sama berulang bagi mengelak pasukan berdepan tekanan dan melakukan kesilapan-kesilapan berulang,” katanya.",2025-09-12
Utusan Malaysia,Ismail Sabri harap Bajet 2023 diteruskan Anwar - Utusan Malaysia,https://www.utusan.com.my/berita/2023/01/ismail-sabri-harap-bajet-2023-diteruskan-anwar/,2023-01-19,,"BERA: Bekas Perdana Menteri, Datuk Seri Ismail Sabri Yaakob berharap Bajet 2023 yang diluluskan kerajaan terdahulu pada Oktober tahun lalu diteruskan oleh Perdana Menteri, Datuk Seri Anwar Ibrahim demi kesejahteraan rakyat.

Beliau berkata, projek dan cadangan yang dibentangkan dalam Bajet 2023 itu perlu diteruskan atau ditambah baik apabila dibentangkan semula di Dewan Rakyat pada 24 Februari ini.

Menurutnya, Bajet 2023 lalu yang terbesar dalam sejarah negara memberi tumpuan kepada meningkatkan taraf hidup di luar bandar dan menangani isu membabitkan perumahan.

“Saya berharap projek yang diluluskan untuk kesejahteraan masyarakat luar bandar akan diteruskan termasuk inisiatif ‘Satu Keluarga Satu Rumah’ yang sebelum ini diperkenalkan untuk membantu rakyat Malaysia mendapatkan kediaman.

“Ini kerana isu perumahan merupakan cabaran utama untuk diteliti dan diberi keutamaan oleh kerajaan,” katanya yang juga Ahli Parlimen Bera ketika ditemui selepas merasmikan Pusat Kawalan Operasi Bencana Angkatan Pertahanan Awam Malaysia (APM) di sini hari ini.

Ismail Sabri mengulas kenyataan Anwar pada 17 Januari lalu bahawa Bajet 2023 yang akan dibentangkan semula di Dewan Rakyat pada 24 Februari ini tidak akan terikat dengan bajet yang dibentangkan kerajaan terdahulu pada 7 Oktober tahun lalu.

Sambil menyifatkan ia sebagai bajet baharu, Perdana Menteri dilaporkan sebagai berkata, cadangan yang dibuat dalam bajet sebelum ini akan diambil kira dalam Bajet 2023 yang disemak semula.

Sementara itu, Ismail Sabri merakamkan penghargaan kepada kerajaan baharu di bawah kepimpinan Anwar kerana meneruskan inisiatif diperkenalkan kerajaan Keluarga Malaysia termasuk pembayaran bantuan awal persekolahan dan bantuan tunai rakyat.

“Bantuan tunai Keluarga Malaysia yang saya umumkan sebelum ini akan dibayar tidak lama lagi. Hanya namanya sahaja yang ditukar…ia kini dikenali Sumbangan Tunai Rahmah.

“Tidak mengapa dan pertukaran nama (untuk bantuan itu) tidak menjadi isu kerana keutamaan sentiasa memastikan bantuan kewangan untuk rakyat diteruskan. Saya berharap perancangan dalam bajet sebelum ini dengan fokus kepada kesejahteraan rakyat. akan diteruskan,” katanya.",2025-09-12
Utusan Malaysia,"Kekuatan UMNO-Pas gerunkan PH, Bersatu - Utusan Malaysia",https://www.utusan.com.my/nasional/2019/07/kekuatan-umno-pas-gerunkan-ph-bersatu/,2019-07-07,,"KUALA LUMPUR 7 Julai – Naib Presiden UMNO, Datuk Seri Ismail Sabri Yaakob menganggap kekuatan gabungan UMNO dan Pas melalui gerakan Perpaduan Ummah dilihat telah menggerunkan Pakatan Harapan (PH). Katanya, hal itu menjadi sebab mengapa Pengerusi Parti Pribumi Bersatu Malaysia (Bersatu), Tun Dr. Mahathir Mohamad menyeru ahli-ahli UMNO dan orang Melayu menyertai Bersatu. “Saya setuju perpecahan yang berlaku sebelum ini adalah disebabkan perjuangan peribadi sehingga orang Melayu berpecah kepada enam…

1 Bulan / RM9.90 Sehari hanya RM0.33 Langgan 1 Tahun / RM75 Sehari hanya RM0.",2025-09-12
Utusan Malaysia,PRN Johor: 70 peratus calon BN muka baharu,https://www.utusan.com.my/nasional/2022/02/prn-johor-70-peratus-calon-bn-muka-baharu/,2022-02-24,,"JOHOR BAHRU: Barisan Nasional (BN) mengetengahkan 70 peratus muka baharu dalam kalangan 56 calon Pilihan Raya Negeri (PRN) Johor .

Pengerusi BN, Datuk Seri Dr Ahmad Zahid Hamidi berkata, lebih 80 peratus calon berusia 55 tahun ke bawah manakala 80 peratus calon berkelulusan akademik serta profesional.

Beliau berkata berkata dalam pengumuman calon BN di sini hari ini.

BN juga mengemukakan Datuk Seri Ir. Hasni Mohammad sebagai poster boy sekali gus bakal dilantik Menteri Besar Johor sekiranya BN menang Pilihan Raya Negeri (PRN) Johor 21 Mac ini.

Ahmad Zahid berkata, semua pihak dan penyokong BN perlu memberikan sokongan memastikan kemenangan parti.

“Sesiapa pun menjadi calon BN, semua parti komponen akan bergerak sebagai satu jentera tanpa mengira apa parti bertanding dan daripada mana dia datang.

Suruhanjaya Pilihan Raya (SPR) telah menetapkan Sabtu ini sebagai hari penamaan calon PRN Johor.

Suruhanjaya itu berharap ia berjalan lancar tanpa sebarang insiden tidak diingini, khususnya yang boleh mengganggu ketenteraman awam.

Setiausahanya, Datuk Ikmalrudin Ishak berkata, semua calon dan parti-parti politik yang terlibat diminta sentiasa mematuhi arahan.

Katanya, mereka perlu patuhundang-undang, peraturan, tata etika dan arahan-arahan yang dikeluarkan pihaknya, Polis Diraja Malaysia (PDRM). Ini termasuk juga peraturan Kementerian Kesihatan dan pihak berkuasa tempatan (PBT) pada hari berkenaan.

Beliau berkata, prosedur operasi standard (SOP) pencegahan Covid-19 bagi pelaksanaan PRN berkenaan akan dilaksanakan dengan ketat di semua proses perjalanan pilihan raya.

“SOP tersebut diluluskan Kementerian Kesihatan pada 18 Februari lalu. Selaras dengan Peraturan 16, Peraturan-Peraturan Pencegahan dan Pengawalan Penyakit Berjangkit (Langkah-Langkah Di Dalam Kawasan Tempatan Jangkitan) (Pelan Pemulihan Negara) 2021,” katanya.",2025-09-12
Utusan Malaysia,Pengurusan kuarters di Putrajaya kurang cekap - Utusan Malaysia,https://www.utusan.com.my/berita/2021/09/pengurusan-kuarters-di-putrajaya-kurang-cekap/,2021-09-30,,"KUALA LUMPUR : Pengurusan penyenggaraan, pembaikan dan naik taraf kuarters di Putrajaya yang kurang cekap menyebabkan kelewatan serahan semula kediaman yang telah dibaiki kepada penghuni baharu. Perkara itu dimaklumkan oleh Laporan Ketua Audit Negara Tahun 2019 Siri 2 dengan menjelasan pengurusan penyenggaraan, pembaikan dan naik taraf kuarters di Putrajaya seliaan Bahagian Pengurusan Hartanah (BPH) Jabatan Perdana Menteri dilaksanakan dengan kurang cekap dan berkesan. Menurut laporan berkenaan, terdapat kelemahan dalam pemantauan…

1 Bulan / RM9.90 Sehari hanya RM0.33 Langgan 1 Tahun / RM75 Sehari hanya RM0.",2025-09-12
